#point birck;ligne;colonne;nombre de coup;bonus
120;1;10;1;1
120;1;11;2;0
110;1;12;1;0
110;1;13;2;1
100;1;14;1;0
100;1;15;1;0
90;2;8;2;0
90;2;9;1;0
80;2;10;1;1
80;2;11;2;1
70;2;12;1;4
70;3;2;1;1
60;3;3;2;1
60;3;6;1;3
50;3;7;1;0
50;3;8;1;0
60;3;9;1;1
60;3;10;1;1
70;3;11;2;1
70;3;12;1;0
80;3;13;1;0
80;3;14;1;1
90;3;15;2;0
90;4;4;1;0
100;4;5;2;0
100;4;6;1;0
110;4;7;2;1
110;4;10;1;0
120;4;11;1;0
120;4;12;2;0
110;4;13;1;0
110;4;16;3;3
100;4;17;2;1
100;5;6;1;0
90;5;7;2;0
90;5;8;1;3
80;5;9;2;1
80;5;10;1;0
70;5;11;1;0
70;5;12;2;1
60;5;13;1;0
60;5;16;3;5
50;5;17;3;4
50;6;6;1;0
60;6;7;1;0
60;6;8;3;0
70;6;9;1;0
80;6;10;1;0
80;6;11;1;0
90;6;12;1;0
90;6;13;1;3
100;7;6;1;0
100;7;7;1;0
120;7;8;1;0
120;7;9;3;1
110;7;10;1;1
110;7;11;1;0
100;7;12;1;0
100;7;13;1;0
90;7;16;3;0
90;7;17;3;1
80;8;6;1;0
80;8;4;1;1
70;8;5;1;0
70;8;6;2;0
60;8;7;1;0
60;8;10;1;0
50;8;11;2;2
50;8;12;1;0
50;8;13;1;0
70;8;16;3;5
700;8;17;3;5
50;9;2;1;0
50;9;3;1;0
100;9;6;1;0
100;9;7;1;0
50;9;8;1;0
50;9;9;1;0
110;9;10;1;0
110;9;11;1;0
50;9;12;1;0
50;9;13;3;0
90;9;14;1;0
90;9;15;1;0
50;11;10;1;0
50;11;11;1;0
80;11;12;1;0
80;11;13;1;3
70;11;14;3;0
70;11;15;1;0
50;10;8;1;2
50;10;9;1;1
50;10;10;2;0
60;10;11;1;0
60;10;12;1;1
