#point birck;ligne;colonne;nombre de coup;bonus
50;1;10;1;1
50;1;11;2;0
50;1;12;1;0
50;1;13;2;1
50;1;14;1;0
50;1;15;1;0
100;2;8;2;0
50;2;9;1;0
50;2;10;1;1
50;2;11;2;1
120;2;12;1;4
50;3;2;1;1
50;3;3;2;1
50;3;6;1;3
50;3;7;1;0
50;3;8;1;0
50;3;9;1;1
50;3;10;1;1
50;3;11;2;1
50;3;12;1;0
50;3;13;1;0
50;3;14;1;1
50;3;15;2;0
50;4;4;1;0
50;4;5;2;0
50;4;6;1;0
50;4;7;2;1
50;4;10;1;0
50;4;11;1;0
50;4;12;2;0
50;4;13;1;0
80;4;16;3;3
50;4;17;2;1
50;5;6;1;0
50;5;7;2;0
50;5;8;1;3
50;5;9;2;1
50;5;10;1;0
50;5;11;1;0
50;5;12;2;1
50;5;13;1;0
120;5;16;3;5
60;5;17;3;4
50;6;6;1;0
50;6;7;1;0
50;6;8;3;0
50;6;9;1;0
50;6;10;1;0
50;6;11;1;0
50;6;12;1;0
70;6;13;1;3
50;7;6;1;0
50;7;7;1;0
50;7;8;1;0
50;7;9;3;1
50;7;10;1;1
50;7;11;1;0
50;7;12;1;0
50;7;13;1;0
50;7;16;3;0
50;7;17;3;1
50;8;6;1;0
50;8;4;1;1
50;8;5;1;0
50;8;6;2;0
50;8;7;1;0
50;8;10;1;0
50;8;11;2;2
50;8;12;1;0
50;8;13;1;0
50;8;16;3;5
50;8;17;3;5
50;9;2;1;0
50;9;3;1;0
50;9;6;1;0
50;9;7;1;0
50;9;8;1;0
50;9;9;1;0
50;9;10;1;0
50;9;11;1;0
50;9;12;1;0
50;9;13;3;0
50;9;14;1;0
50;9;15;1;0
50;11;10;1;0
50;11;11;1;0
50;11;12;1;0
50;11;13;1;3
50;11;14;3;0
50;11;15;1;0
50;10;8;1;2
50;10;9;1;1
50;10;10;2;0
50;10;11;1;0
60;10;12;1;1
