#point birck;ligne;colonne;nombre de coup;bonus
50;1;2;1;0
50;1;3;1;0
50;1;4;1;0
50;1;5;1;1
50;1;6;1;0
50;1;7;1;0
50;1;8;1;0
50;2;2;1;0
50;2;3;1;0
50;2;4;1;0
50;2;5;1;0
50;2;6;1;2
50;2;7;1;0
50;2;8;1;0
50;3;2;1;0
50;3;3;1;1
50;3;4;1;0
50;3;5;1;0
50;3;6;1;0
50;3;7;1;1
50;3;2;1;0
50;4;2;1;0
50;4;3;1;0
50;4;4;1;1
50;4;5;1;0
50;4;6;1;0
50;5;2;1;0
50;5;3;1;1
50;5;4;1;0
50;5;5;2;0
50;5;10;3;4
50;6;2;1;0
50;6;3;2;0
50;6;4;2;0
50;6;10;3;1
50;7;2;1;0
50;7;3;1;0
50;7;9;2;0
50;7;10;3;1
50;8;2;1;0
50;8;8;2;0
50;8;9;2;0
50;8;10;3;1
50;9;2;1;0
50;9;7;1;0
50;9;8;1;1
50;9;9;3;0
50;9;10;1;0
50;10;6;1;1
50;10;7;1;0
50;10;8;1;0
50;10;9;1;0
50;10;10;3;5
50;11;6;1;0
50;11;7;1;1
50;11;8;1;0
50;11;9;2;0
50;11;10;3;5





